,IMPACT RATIO:,ELIFT RATIO:,ODDS RATIO:,
Raw Data,0.68621658736,0.82026962757,0.10273503493,
../output/crime_reweighed.csv,0.68621658736,0.82026962757,0.10273503493,
../output/crime_massaged.csv,0.997719889579,0.998906124241,0.989042802697,
../output/massage_predictions_logr.csv,0.992796685148,0.996535338133,0.961057079082,
../output/massage_predictions_svm.csv,0.977761824053,0.989219108992,0.889022948882,
../output/baseline_predictions_logr.csv,0.993549729505,0.996898759504,0.961298377029,
../output/reweighed_predictions_logr.csv,1.00738396624,1.00352467271,1.04430379747,
../output/crime2nb_predictions_gnb.csv,0.99383543286,1.93871169481,0.976016684046,
../output/reweighed_predictions_gnb.csv,0.972537168207,0.986649483296,0.904018789896,
../output/2nb_predictions_gnb.csv,1.00076608439,1.94402136035,1.00300878182,
../output/massage_predictions_gnb.csv,0.983002066716,0.991782228068,0.935370495426,
../output/baseline_predictions_svm.csv,0.991341522158,0.995832260967,0.948934659091,
../output/reweighed_predictions_svm.csv,0.997091763006,0.998604325378,0.982346491228,
../output/baseline_predictions_gnb.csv,0.988777046929,0.994590598797,0.959829567975,
